credit_sco,credit_amo,tenure,balance,cred_card,active,saving,checking,clusters
619,1169,new,no balance,yes,yes,none,little,2
608,5951,new,good balance,no,yes,little,moderate,3
502,2096,loyal,excellent balance,yes,no,little,none,2
699,7882,new,no balance,no,no,little,little,3
850,4870,new,excellent balance,yes,yes,little,little,0
645,9055,loyal,good balance,yes,no,none,none,3
822,2835,long term,no balance,yes,yes,quite rich,none,0
376,6948,long term,good balance,yes,no,little,moderate,3
501,3059,long term,excellent balance,no,yes,rich,none,0
684,5234,new,excellent balance,yes,yes,little,moderate,0
528,1295,long term,good balance,no,no,little,moderate,2
497,4308,new,no balance,yes,no,little,little,0
476,1567,loyal,no balance,yes,no,little,moderate,2
549,1199,long term,no balance,no,no,little,little,2
635,1403,long term,no balance,yes,yes,little,little,2
616,1282,new,excellent balance,no,yes,moderate,little,2
653,2424,new,excellent balance,yes,no,none,none,2
549,8072,loyal,no balance,yes,yes,none,little,3
587,12579,long term,no balance,no,no,little,moderate,1
726,3430,long term,no balance,yes,yes,quite rich,none,0
732,2134,loyal,no balance,yes,yes,little,none,2
636,2647,loyal,no balance,yes,no,quite rich,little,0
510,2241,long term,no balance,yes,no,little,little,2
669,1804,new,no balance,no,yes,moderate,moderate,2
846,2069,long term,no balance,yes,yes,none,none,2
577,1374,new,no balance,no,yes,little,little,2
756,426,new,excellent balance,yes,yes,little,none,2
571,409,loyal,no balance,no,no,rich,rich,2
574,2415,new,excellent balance,yes,yes,little,moderate,2
411,6836,new,good balance,yes,yes,little,little,3
591,1913,new,no balance,yes,no,rich,moderate,2
533,4020,long term,good balance,no,yes,little,little,0
553,5866,loyal,good balance,no,no,moderate,moderate,3
520,1264,long term,no balance,yes,yes,none,none,2
722,1474,loyal,no balance,yes,yes,little,rich,2
475,4746,new,excellent balance,yes,no,little,moderate,0
490,6110,new,excellent balance,no,yes,little,none,3
804,2100,long term,good balance,no,yes,little,rich,2
850,1225,long term,no balance,yes,yes,little,rich,2
582,458,long term,good balance,no,yes,little,moderate,2
472,2333,long term,no balance,yes,no,quite rich,none,2
465,1158,loyal,excellent balance,no,no,quite rich,moderate,2
556,6204,new,good balance,yes,yes,little,moderate,3
834,6187,new,excellent balance,no,no,moderate,little,3
660,6143,long term,excellent balance,yes,yes,little,little,3
776,1393,long term,good balance,yes,yes,little,none,2
829,2299,loyal,good balance,yes,yes,quite rich,none,2
637,1352,loyal,excellent balance,yes,yes,quite rich,little,2
550,7228,new,good balance,no,yes,little,none,3
776,2073,new,good balance,yes,no,moderate,none,2
698,1007,loyal,good balance,yes,no,rich,moderate,2
585,1819,long term,excellent balance,no,no,little,none,2
788,2394,long term,no balance,no,no,none,none,2
655,8133,loyal,excellent balance,no,no,little,none,3
601,730,new,good balance,yes,no,none,none,2
619,1164,new,excellent balance,yes,yes,little,little,2
656,5954,long term,excellent balance,yes,no,little,moderate,3
725,1977,new,good balance,no,no,none,little,2
511,1526,long term,no balance,yes,no,little,little,2
614,3965,long term,good balance,yes,yes,little,little,0
742,4771,long term,excellent balance,no,no,little,moderate,0
687,9436,loyal,excellent balance,no,no,none,none,3
555,3832,new,good balance,no,no,little,moderate,0
684,5943,loyal,good balance,yes,yes,none,none,3
603,1213,long term,good balance,yes,yes,quite rich,none,2
751,1568,long term,excellent balance,yes,yes,moderate,none,2
581,1755,new,good balance,yes,no,little,little,2
735,2315,loyal,excellent balance,yes,yes,little,little,2
661,1412,long term,excellent balance,no,yes,little,none,2
675,1295,loyal,good balance,yes,no,little,moderate,2
738,12612,new,excellent balance,yes,no,moderate,moderate,1
813,2249,long term,no balance,yes,no,moderate,little,2
657,1108,new,excellent balance,no,yes,little,little,2
604,618,long term,excellent balance,yes,yes,little,none,2
519,1409,loyal,no balance,no,yes,little,little,2
735,797,new,excellent balance,yes,no,none,none,2
664,3617,loyal,no balance,yes,yes,none,rich,0
678,1318,loyal,no balance,yes,yes,rich,moderate,2
757,15945,long term,good balance,no,yes,little,moderate,1
416,2012,loyal,excellent balance,yes,no,none,none,2
665,2622,new,good balance,no,no,moderate,moderate,0
777,2337,new,no balance,yes,no,little,moderate,2
543,7057,new,no balance,no,no,none,moderate,3
506,1469,long term,good balance,yes,yes,moderate,none,2
493,797,long term,no balance,yes,no,none,none,2
652,3617,loyal,no balance,yes,yes,none,rich,0
750,1318,new,excellent balance,yes,no,rich,moderate,2
729,15945,loyal,no balance,yes,no,little,moderate,1
646,2012,long term,no balance,yes,no,none,none,2
635,2622,new,good balance,yes,yes,moderate,moderate,0
647,2337,long term,no balance,yes,yes,little,moderate,2
808,7057,long term,good balance,yes,no,none,moderate,3
524,1469,loyal,no balance,yes,no,moderate,none,2
769,5234,loyal,no balance,yes,yes,little,moderate,0
730,1295,long term,no balance,no,yes,little,moderate,2
515,4308,loyal,excellent balance,no,yes,little,little,0
773,1567,loyal,good balance,no,yes,little,moderate,2
814,1199,loyal,good balance,yes,yes,little,little,2
710,1403,loyal,no balance,no,no,little,little,2
413,1282,loyal,no balance,no,no,moderate,little,2
665,2424,long term,no balance,yes,yes,none,none,2
623,8072,long term,no balance,no,no,none,little,3
738,12579,loyal,good balance,yes,no,little,moderate,1
528,3430,long term,no balance,yes,no,quite rich,none,0
670,2134,new,no balance,yes,yes,little,none,2
622,2647,long term,good balance,yes,yes,quite rich,little,0
582,2241,new,good balance,yes,yes,little,little,2
785,1804,new,good balance,no,yes,moderate,moderate,2
605,2069,long term,excellent balance,no,no,none,none,2
479,1374,loyal,good balance,yes,no,little,little,2
685,426,new,good balance,no,yes,little,none,2
538,409,long term,good balance,yes,no,rich,rich,2
562,2415,new,good balance,no,no,little,moderate,2
675,6836,loyal,good balance,no,yes,little,little,3
721,1913,loyal,excellent balance,no,yes,rich,moderate,2
628,4020,loyal,excellent balance,yes,yes,little,little,0
668,5866,long term,excellent balance,yes,no,moderate,moderate,3
506,1264,new,no balance,yes,no,none,none,2
524,1474,loyal,good balance,yes,no,little,rich,2
699,4746,long term,excellent balance,yes,no,little,moderate,0
828,6110,loyal,excellent balance,no,no,little,none,3
674,2100,long term,excellent balance,no,no,little,rich,2
656,1225,long term,no balance,yes,no,little,rich,2
684,458,loyal,excellent balance,yes,yes,little,moderate,2
625,2333,new,no balance,no,no,quite rich,none,2
432,1158,loyal,excellent balance,yes,no,quite rich,moderate,2
549,6204,new,no balance,no,yes,little,moderate,3
625,6187,new,excellent balance,yes,no,moderate,little,3
828,6143,long term,no balance,yes,no,little,little,3
770,1393,loyal,good balance,yes,no,little,none,2
758,2299,new,no balance,yes,yes,quite rich,none,2
795,1352,loyal,excellent balance,yes,yes,quite rich,little,2
687,7228,loyal,excellent balance,yes,yes,little,none,3
686,2073,new,no balance,no,yes,moderate,none,2
789,2333,long term,excellent balance,yes,yes,none,moderate,2
589,5965,long term,excellent balance,yes,yes,little,moderate,3
461,1262,long term,good balance,no,yes,little,none,2
637,3378,new,excellent balance,no,yes,none,none,0
584,2225,new,excellent balance,yes,no,little,moderate,2
579,783,new,excellent balance,no,yes,none,none,2
756,6468,loyal,excellent balance,yes,no,none,moderate,3
663,9566,long term,no balance,yes,yes,little,none,3
682,1961,long term,excellent balance,yes,yes,little,rich,2
793,6229,new,no balance,yes,no,little,little,3
691,1391,long term,good balance,yes,no,little,moderate,2
485,1537,long term,good balance,yes,yes,none,moderate,2
635,1953,loyal,excellent balance,yes,no,little,moderate,2
650,14421,long term,good balance,no,no,little,moderate,1
735,3181,loyal,excellent balance,yes,no,little,none,0
416,5190,new,no balance,no,yes,none,none,0
754,2171,long term,no balance,yes,no,little,none,2
535,1007,loyal,no balance,yes,no,rich,moderate,2
716,1819,loyal,no balance,yes,no,little,none,2
539,2394,new,excellent balance,yes,no,none,none,2
614,8133,long term,no balance,yes,yes,little,none,3
706,730,long term,no balance,yes,no,none,none,2
758,1164,long term,no balance,no,no,little,little,2
586,5954,new,no balance,yes,yes,little,moderate,3
646,1977,long term,good balance,no,yes,none,little,2
631,1526,long term,excellent balance,no,no,little,little,2
717,3965,long term,good balance,no,yes,little,little,0
684,4771,new,no balance,yes,no,little,moderate,0
800,9436,long term,good balance,no,no,none,none,3
721,3832,new,no balance,yes,yes,little,moderate,0
683,5943,new,excellent balance,yes,no,none,none,3
660,1213,loyal,excellent balance,yes,yes,quite rich,none,2
704,1568,long term,good balance,yes,no,moderate,none,2
615,1755,loyal,good balance,yes,no,little,little,2
667,2315,new,no balance,yes,no,little,little,2
682,1412,loyal,good balance,no,no,little,none,2
484,1295,long term,excellent balance,yes,no,little,moderate,2
628,12612,long term,good balance,yes,no,moderate,moderate,1
480,2249,loyal,excellent balance,yes,no,moderate,little,2
578,1108,long term,excellent balance,yes,no,little,little,2
512,618,long term,no balance,yes,yes,little,none,2
484,1409,long term,excellent balance,yes,yes,little,little,2
510,797,new,no balance,yes,yes,none,none,2
606,3617,long term,excellent balance,no,no,none,rich,0
597,1318,loyal,good balance,no,yes,rich,moderate,2
754,15945,new,excellent balance,yes,no,little,moderate,1
850,2012,new,excellent balance,yes,yes,none,none,2
510,2622,new,no balance,yes,yes,moderate,moderate,0
778,2337,new,excellent balance,yes,no,little,moderate,2
636,7057,new,no balance,yes,yes,none,moderate,3
804,1469,long term,no balance,yes,yes,moderate,none,2
514,2323,loyal,no balance,yes,no,little,moderate,2
730,932,new,good balance,yes,no,little,none,2
525,1919,new,no balance,no,yes,little,moderate,2
616,2445,long term,no balance,no,yes,none,none,2
687,11938,long term,good balance,yes,no,little,moderate,1
715,6458,loyal,good balance,no,no,little,none,3
512,6078,new,good balance,yes,no,little,moderate,3
479,7721,new,no balance,no,no,none,little,3
601,1410,loyal,good balance,yes,no,quite rich,moderate,2
580,1449,loyal,good balance,yes,no,moderate,moderate,2
807,392,new,excellent balance,yes,yes,little,rich,2
616,6260,long term,no balance,yes,yes,little,moderate,3
721,7855,new,good balance,yes,yes,little,none,3
501,1680,loyal,no balance,yes,yes,quite rich,little,2
521,3578,long term,good balance,yes,no,none,none,0
850,7174,new,excellent balance,yes,yes,none,little,3
759,2132,long term,good balance,no,yes,none,little,2
516,4281,long term,no balance,no,yes,quite rich,little,0
711,2366,new,excellent balance,yes,yes,quite rich,moderate,2
512,1835,new,excellent balance,yes,no,little,little,2
550,3868,new,no balance,yes,yes,little,none,0
608,1768,new,good balance,no,no,little,none,2
618,781,long term,excellent balance,yes,yes,little,rich,2
643,1924,long term,no balance,yes,no,none,moderate,2
671,2121,new,good balance,no,yes,little,little,2
689,701,new,excellent balance,yes,no,little,little,2
603,639,loyal,no balance,yes,yes,little,moderate,2
620,1860,loyal,no balance,no,no,little,moderate,2
676,3499,new,good balance,yes,yes,little,little,0
572,8487,long term,good balance,no,no,none,moderate,3
668,6887,long term,good balance,no,yes,little,little,3
695,2708,long term,good balance,yes,no,little,none,0
730,1984,loyal,no balance,no,no,little,none,2
807,10144,new,good balance,yes,no,moderate,none,1
592,1240,loyal,no balance,yes,yes,none,none,2
726,8613,loyal,good balance,yes,yes,rich,none,3
514,766,long term,no balance,no,yes,quite rich,moderate,2
567,2728,new,no balance,yes,yes,none,moderate,0
850,1881,loyal,no balance,yes,no,little,rich,2
